Latin;Status;Current;Mnemonic;Family;Authority;Notes
Guarea bullata;Accepted;Guarea bullata;guarsp;Meliaceae;Radlk.;We finally identified the fuzzy-leaved Guarea morphospecies as this after 2004. G. bullata has been known in other parts of Panama since at least the 1960s. Impressed venation is distinctive, otherwise very similar and closely related to G. glabra.
Guarea fuzzy;Obsolete;Guarea bullata;guarsp;Meliaceae;;Our temporary name for a Guarea with pubescent leaves in the 50 ha plot, by far the most abundant of unnamed morphospecies in the initial census. It is not at all like the two other Guarea on BCI. Finally identified as G. bullata,
Guarea grandifolia;Accepted;Guarea grandifolia;guargr;Meliaceae;(L.) Sleumer;BCI specimens of G. multiflora were renamed this before plot started (Pennington in 1979 on Mobot sheets, eg Croat 8443, 11300).
Guarea guidonia;Accepted;Guarea guidonia;guargu;Meliaceae;(L.) Sleumer;"Identified as G. glabra in Croat. Foster reidentified by 1981; G. glabra should have glabrous ovary and few lenticels, small flowers relative to G. guidonia. "
Guarea multiflora;Obsolete;Guarea grandifolia;guargr;Meliaceae;Adr. Juss.;"Croat's name for the large-leaved Guarea we call G. grandifolia in the 50-ha plot. We never used G. multiflora because Pennington re-identified Croat's BCI specimens in 1979. G. multiflora was named in Juisseau (1830) without any specimen or location; one of two Mobot specimens is a liana!. It does not appear in Pennington (2013), even the appendix."
Guarea sp. 1;Obsolete;Guarea bullata;guarsp;Meliaceae;;Alternate name for G. fuzzy, later identified as G. bullata, used in Condit et al. (2004). Unfortunate, because Guarea sp.1 was applied to a species in plot 33 in 1996 and is still in use.
Guarea sp. nov.;Obsolete;Guarea bullata;guarsp;Meliaceae;;Alternate name for G. fuzzy, later identified as G. bullata, used in Condit et al. (1996). This mistakenly suggests we thought it would be a newly named species, but it turned out not to be.
Guatteria dumetorum;Obsolete;Guatteria lucens;guatdu;Annonaceae;R.E.Fr.;Croat's name, and we followed for 30 years, appearing in 1996 and 2004 papers.. Maas (2015) decided to lump with G. lucens. 
Guatteria lucens;Accepted;Guatteria lucens;guatdu;Annonaceae;Standl.;We knew this as G. dumetorum for 30 years, and see notes there. Maas (2015) provides details about slight leaf differences between the dumetorum type and lucens type, but indicates that in all other ways the two are indistringuishable. Both types also have the same range, in Costa Rica and Panama, so though the species circumscription was widened by lumping, the range was not.
Guazuma ulmifolia;Accepted;Guazuma ulmifolia;guazul;Malvaceae;Lam.;
Guettarda foliacea;Accepted;Guettarda foliacea;guetfo;Rubiaceae;Standl.;
Gustavia superba;Accepted;Gustavia superba;gustsu;Lecythidaceae;(Kunth) O.Berg;
Hamelia axillaris;Accepted;Hamelia axillaris;hameax;Rubiaceae;Sw.;
Hamelia patens;Accepted;Hamelia patens;hamepa;Rubiaceae;Jacq.;
Hampea appendiculata;Accepted;Hampea appendiculata;hampap;Malvaceae;(Donn.Sm.) Standl.;
Handroanthus guayacan;Accepted;Handroanthus guayacan;tab1gu;Bignoniaceae;(Seem.) S.O.Grose;Formerly Tabebuia guayacan, and appeared as that name in 1996 and 2004 papers. Handroanthus is an old name, and morphological distinctions were known since the 19th century.
Hasseltia floribunda;Accepted;Hasseltia floribunda;hassfl;Salicaceae;Kunth;
Heisteria acuminata;Accepted;Heisteria acuminata;heisac;Erythropalaceae;(Humb. & Bonpl.) Engl.;Known as H. longipes in Croat, but we used this name from the very start, and it appears in both 1996 and 2004 paper use this. Sleumer explains that Heisteria are not identifiable based only on flowers or fruits and leaves are needed. He collapsed many local species under H. acuminata, and all Tropicos specimens formerly called H. longipes now identified as H. acuminata by S. Knapp, R. Liesner, H. Sleumer.
Heisteria concinna;Accepted;Heisteria concinna;heisco;Erythropalaceae;Standl.;
Heisteria longipes;Obsolete;Heisteria acuminata;heisac;Erythropalaceae;Standl.;Croat's name, following Standley for Panama specimens. He describes range as Colombia-Costa Rica. Sleumer monograph lumps under H. acuminata after viewing many BCI specimens. We never used this name.
Herrania purpurea;Accepted;Herrania purpurea;herrpu;Malvaceae;(Pittier) R.E. Schult.;
Hieronyma alchorneoides;Accepted;Hieronyma alchorneoides;hyeral;Euphorbiaceae;Allemão;Franco reidentified BCI specimens in 1989 and published a major revision, collapsing H. laxiflora and other widespread varieties. Major broadening of range, however many local names are still listed as valid at Tropicos. Franco recognizes two varieties of H. alchorneoides, both among Croat's BCI specimens, but this is stipule difference between adults and juveniles (Hensold).
Hirtella americana;Accepted;Hirtella americana;hirtam;Chrysobalanaceae;L.;
Hirtella triandra;Accepted;Hirtella triandra;hirttr;Chrysobalanaceae;Sw.;
Hura crepitans;Accepted;Hura crepitans;huracr;Euphorbiaceae;L.;
Hybanthus prunifolius;Obsolete;Pombalia prunifolia;hybapr;Violaceae;(Humb. & Bonpl. ex Schult.) Schulze-Menz;Croat's name, and we used for 35 years and published in 1996 and 2004. de Paula Souza and Ballard (2014) revised Hybanthus based on polyphyly shown by DNA phylogeny. Several new genera will be needed. 
Hyeronima alcheornoides;Obsolete;Hieronyma alchorneoides;hyeral;Euphorbiaceae;;This is an unfortunate typo in the 1996 paper. The species name should be alchorneoides. Separately, the genus should be Hieronyma, but this error follows Croat. See notes with Hyeronima laxiflora.
Hyeronima laxiflora;Obsolete;Hieronyma alchorneoides;hyeral;Euphorbiaceae;;Croat's name, note misspelling of genus (an old problem due to two spellings in original description). We originally used this name in 50-ha plot. Franco1990 synonomized under H. alchorneoides.
Inga acuminata;Accepted;Inga acuminata;ingas1;Fabaceae-mimosoideae;Benth.;Originally censused as Inga skinny, an unidentified morphospecies. Croat did not include this species, and we finally got it identified in 1989 (Zamora). It was not (??) known in Panama until then. We had it as I. acuminata in the 1996 paper.
Inga cocleensis;Accepted;Inga cocleensis;ingaco;Fabaceae-mimosoideae;Pittier;The identification of this species in the 50-ha plot has been reassessed. See detailed notes under I. thibaudiana and I. unidentified.
Inga fagifolia;Obsolete;Inga laurina;ingafa;Fabaceae-mimosoideae;;We followed Croat and used this name at the outset, and it appears in the 1996 paper. Now synonomized with I. laurina, following Pennington's (1997) revision of the entire genus, and I. laurina appears in the 2004 paper. Tropicos specimens from BCI identified as I. laurina by Sousan in 1990 or Pennington in 1996.
Inga goldmanii;Accepted;Inga goldmanii;ingago;Fabaceae-mimosoideae;Pittier;
Inga laurina;Accepted;Inga laurina;ingafa;Fabaceae-mimosoideae;(Sw.) Willd.;Originally I. fagifolia, following Croat, but I. laurina was synonomized with I. fagifolia in Pennington's (1997) revision of the entire genus. We used I. fagifolia in the 1996 paper but I. laurina in the 2004 paper.
Inga marginata;Accepted;Inga marginata;ingama;Fabaceae-mimosoideae;Willd.;
Inga minutula;Obsolete;Inga oerstediana;ingami;Fabaceae-mimosoideae;;We followed Croat and used this name at the outset, and it appears in the 1996 paper. Now synonomized with I. oerstediana in Pennington's (1997). Tropicos specimens from BCI identified as I. oerstediana by Sousan in 1990.
Inga mucuna;Accepted;Inga mucuna;ingam1;Fabaceae-mimosoideae;Walp. & Duchass.;
Inga nobilis;Accepted;Inga nobilis;ingaqu;Fabaceae-mimosoideae;Willd.;Originally I. quaternata, following Croat, but we now follow Pennington (1997), in which I. quaternata was synonomized with I. nobilis. In 2004 paper, we had changed to this. C. American specimens are subsp. quaternata, and S. American are subsp. nobilis, but Pennington explains that there are intermediates in between and sometime one plant mixes the two different flower forms. We used I. quaternata in the 1996 paper but I. nobilis in the 2004 paper. See notes on recent confusion under I. quaternata.
Inga oerstediana;Accepted;Inga oerstediana;ingami;Fabaceae-mimosoideae;Benth.;Originally I. minutula, following Croat, and appeared as such in the 1996 paper. Pennington's (1997) synonomized I. minutula under I. oerstediana, and Tropicos BCI specimens were identified as I. oerstediana in 1990 (Sousa). I. oerstediana is closely related to and possibly conspecific with I. edulis.
Inga pavoniana;Obsolete;Inga sapindoides;ingasa;Fabaceae-mimosoideae;;A name appearing at Tropicos now, along with I. marginata.. It is accepted by Sousa (1993), and C. Romero applies at Tropicos. But N. Hensold points out I. marginata has priority, and Pennington and Man CR both use the latter.
Inga pezizifera;Accepted;Inga pezizifera;ingape;Fabaceae-mimosoideae;Benth.;
Inga punctata;Accepted;Inga punctata;ingapu;Fabaceae-mimosoideae;Willd.;
Inga quaternata;Obsolete;Inga nobilis;ingaqu;Fabaceae-mimosoideae;;We followed Croat and used this in 1996 paper. I. quaternata was synonomized with I. nobilis in Pennington's (1997) revision of the entire genus, and use I. nobilis in 2004 paper. Confusion remains, though, with the name I. quaternata still appearing: Tropicos specimens from BCI identified as I. quaternata by C. Romero in 2006.  Note confusion also in Zamora (2010), mentioning both names I. nobilis subsp. quaternata and I. quaternata as if they are distinct taxa.
Inga ruiziana;Accepted;Inga ruiziana;ingaru;Fabaceae-mimosoideae;G.Don;
Inga sapindoides;Accepted;Inga sapindoides;ingasa;Fabaceae-mimosoideae;Willd.;Sousa (1993) argues that I. pavoniana should be used, because original specimen of I. sapindoides lacked flowers and is questionable. Tropicos specimens IDed by C. Romero in 2006 as I. pavoniana (also R. Gereult in 1994). Pennington synonomizes the latter under I. sapindoides and has no discussion of the problem.
Inga semialata;Obsolete;Inga marginata;ingama;Fabaceae-mimosoideae;;A name in use at Tropicos because Sousa uses it, but Pennington and Man CR use I. marginata. N. Henshold says I. marginata has precedence.
Inga skinny;Obsolete;Inga acuminata;ingas1;Fabaceae-mimosoideae;;An Inga with narrow leaflets not identified in the first census. In 1989, identified as I. acuminata. 
Inga spectabilis;Accepted;Inga spectabilis;ingasp;Fabaceae-mimosoideae;(Vahl) Willd.;
Inga thibaudiana;Accepted;Inga thibaudiana;ingath;Fabaceae-mimosoideae;DC.;Included in Croat, but not recognized in the 50-ha plot until 2005, when it was separated from I. coclensis for the first time. Many trees previously known as I. coclensis had been alive since 1982, so we know that I. thibaudiana has always been part of the 50-ha plot.
Inga umbellifera;Accepted;Inga umbellifera;ingaum;Fabaceae-mimosoideae;(Vahl) Steud.;
Inga unidentified;Accepted;Inga unidentified;ingaun;Fabaceae-mimosoideae;;The Inga species I. coclensis and I. thibaudiana were reassessed in 2005, and many individuals of I. coclensis were reidentified as I. thibaudiana. Any tree known as I. coclensis that had died by 2005 could not be revisited, and all those had to be switched to I. unidentified. 
Jacaranda copaia;Accepted;Jacaranda copaia;jac1co;Bignoniaceae;(Aubl.) D.Don;
Jacaratia spinosa;Accepted;Jacaratia spinosa;jac2sp;Caricaceae;(Aubl.) A.DC.;Croat included this taxon, but it did not appear in the 50-ha plot until the 2015 census.
Koanophyllon wetmorei;Accepted;Koanophyllon wetmorei;koanwe;Asteraceae;(B.L.Rob.) R.M.King & H.Rob.;
Lacistema aggregatum;Accepted;Lacistema aggregatum;laciag;Lacistemataceae;(P.J.Bergius) Rusby;
Lacmellea panamensis;Accepted;Lacmellea panamensis;lacmpa;Apocynaceae;(Woodson) Markgr.;
Laetia procera;Accepted;Laetia procera;laetpr;Salicaceae;(Poepp.) Eichler;
Laetia thamnia;Accepted;Laetia thamnia;laetth;Salicaceae;L.;
Lafoensia punicifolia;Accepted;Lafoensia punicifolia;lafopu;Lythraceae;DC.;
Leandra dichotoma;Accepted;Leandra dichotoma;leandi;Melastomataceae;(Pav. ex D. Don) Cogn.;Leandra is now moved within Miconia, but names are not yet transferred as of 2017.
Licania hypoleuca;Accepted;Licania hypoleuca;licahy;Chrysobalanaceae;Benth.;
Licania platypus;Accepted;Licania platypus;licapl;Chrysobalanaceae;(Hemsl.) Fritsch;
Lindackeria laurina;Accepted;Lindackeria laurina;lindla;Achariaceae;C. Presl;
Lonchocarpus heptaphyllus;Accepted;Lonchocarpus heptaphyllus;loncla;Fabaceae-papilionoideae;(Poir.) DC.;The species appears as L. latifolia in the 1996 paper then L. latifolius in the 2004 paper (the latter is correct). Croat knew this as L. pentaphyllus. Zamora2010a synonomized L. latifolius under this.
Lonchocarpus latifolia;Obsolete;Lonchocarpus heptaphyllus;loncla;Fabaceae-papilionoideae;;An incorrect spelling for L. latifolius that we used in the 1996 paper. But that name is now obsolete, and this goes by L. heptaphyllus.
Lonchocarpus latifolius;Obsolete;Lonchocarpus heptaphyllus;loncla;Fabaceae-papilionoideae;;This was our first name for the Lonchocarpus species in the 50-ha plot. Croat knew it as L. pentaphyllus. Zamora (2010) synonomized L. latifolius and L. pentaphyllus under L. heptaphyllus.
Lonchocarpus pentaphyllus;Obsolete;Lonchocarpus heptaphyllus;loncla;Fabaceae-papilionoideae;(Poir.) DC.;Croat’s name, now considered a synonym of L. heptaphyllus (Zamora 2010). 
Lopimia dasypetala;Obsolete;Pavonia dasypetala;lopida;Malvaceae;;This was Croat's name, and we used in both 1996 and 2004 papers. Now considered Pavonia dasypetala. Lopimia was described in 1823, but frequently treated under Pavonia since the 19th century. Differs in mucilage on fruits. No Pavonia DNA phylogeny is available. 
Lozania pittieri;Accepted;Lozania pittieri;lozapi;Lacistemataceae;(S.F.Blake) L.B.Sm.;
Luehea seemannii;Accepted;Luehea seemannii;luehse;Malvaceae;Triana & Planch.;
Lycianthes maxonii;Accepted;Lycianthes maxonii;lycima;Solanaceae;Standl.;
Maclura tinctoria;Accepted;Maclura tinctoria;maclti;Moraceae;(L.) D.Don ex Steud.;This was listed as Chlorophora tinctoria in the 2004 paper, but M. tinctoria in the 1996 paper. Neither name appears in Croat, and D'Arcy used Chlorophora. Our brief use of Chorophora was erroneous, since  Berg's (2001) monograph clearly used Maclura.
Macrocnemum glabrescens;Obsolete;Macrocnemum roseum;macrgl;Rubiaceae;;Croat's name and our original name, appearing in 1996 paper. Changed to M. roseum after 2000.
Macrocnemum roseum;Accepted;Macrocnemum roseum;macrgl;Rubiaceae;(Ruiz & Pav.) Wedd.;Formerly M. glabrescens, but that C. American form was lumped under this widespread S. American species (Taylor pers. comm.). Appears as M. glabrescens in 1996 paper. [I need Lorence 1999 on C. American Rubiaceae.]
Malmea garwood's;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;One name used in some early databases for the new Annonaceae, christened finally as a novel species, Mosannona garwoodii. 
Malmea Nancy??;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;One name used in some early databases for the new Annonaceae, christened finally as a novel species, Mosannona garwoodii. For a period in the early censuses, we thought it might be a novel Malmea.
Malmea sp. nov.;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;This was the name we used in the 1996 paper for the novel Annonaceae, later described as Mosannona garwoodii. 
Malpighia romeroana;Accepted;Malpighia romeroana;malpro;Malpighiaceae;Cuatrec.;
Maquira costaricana;Obsolete;Maquira guianensis;maquco;Moraceae;;We took this name from Croat and used through the 1996 paper, but switched to M. guianensis for 2004 paper, following Berg (1972). With more specimens of M. guianensis from Ecuador, Berg could no longer separate M. costaricensus (Ecuador and north) and M. guianensis (across S. America). Now, Berg (2001) considers the former a subspecies of the latter. 
Maquira guianensis;Accepted;Maquira guianensis;maquco;Moraceae;Aubl.;Formerly M. costaricana. We switched after Berg (2001), and the 2004 paper used M. guianensis. See notes with M. costaricana.
Margaritaria nobilis;Accepted;Margaritaria nobilis;margno;Phyllanthaceae;L.f.;Croat includes this taxon on BCI, but we did not identify in the 50-ha plot until 1990. A few individuals were in the census from the start, but remained unidentified until then.
Marila laxiflora;Accepted;Marila laxiflora;mar1la;Clusiaceae;Rusby;
Maytenus schippii;Accepted;Maytenus schippii;maytsc;Celastraceae;Lundell;
Miconia affinis;Accepted;Miconia affinis;micoaf;Melastomataceae;DC.;
Miconia argentea;Accepted;Miconia argentea;micoar;Melastomataceae;(Sw.) DC.;
Miconia dorsiloba;Accepted;Miconia dorsiloba;micodo;Melastomataceae;Gleason;Originally called morphospecies Miconia sp.15 2000, identified as M. dorsiloba in 2005. Does not appear in Croat.
Miconia elata;Accepted;Miconia elata;micoel;Melastomataceae;(Sw.) DC.;
Miconia hondurensis;Accepted;Miconia hondurensis;micoho;Melastomataceae;Donn. Sm.;
Miconia impetiolaris;Accepted;Miconia impetiolaris;micoim;Melastomataceae;(Sw.) D. Don ex DC.;
Miconia nervosa;Accepted;Miconia nervosa;micone;Melastomataceae;(Sm.) Triana;
Miconia prasina;Accepted;Miconia prasina;micopr;Melastomataceae;(Sw.) DC.;
Miconia sp.15;Obsolete;Miconia dorsiloba;mico15;Melastomataceae;;A Miconia new to the 50-ha plot recruited in 2000. It remained until 2005, when another recruited. It was then identified as M. dorsiloba.
Morinda seibertii;Obsolete;Appunia seibertii;appuse;Rubiaceae;(Standl.) Steyerm.;We originally used Appunia seibertii, but then followed Steyermark (1972) in moving Appunia within the broad Morinda. But recent DNA phylogeny reinstated Appunia. See more notes there.
Mosannona garwoodii;Accepted;Mosannona garwoodii;malmsp;Annonaceae;Chatrou & Welzenis;The official species name, maintaining Nancy Garwood's, described by Chatrou (1998). This correct version appeared in our 2004 paper. The species was thus first described from the BCI 50-ha plot. It is very distinctive, and common in the plot. It had several morphospecies names before the final description, including the genera Malmea and Cremastosperma. Croat called in Crematosperma sp., misspelling the genus.
Mosannona garwoods;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;One briefly used name for the new Annonaceae, after P. Maas saw it and placed it in a new Neotropical genus. Chatrou (1998) eventually christened it as a novel species, Mosannona garwoodii.
Mouriri myrtilloides;Accepted;Mouriri myrtilloides;mourmy;Melastomataceae;(Sw.) Poir.;
Myrcia gatunensis;Obsolete;Myrcia splendens tip. gatunensis;myrcga;Myrtaceae;Standl.;The name from Croat, and we used in 1996 paper and onward until 2017. Tropicos, citing Flora Mesoamerica and Flora Costa Rica, merges into M. splendens, a very widespread neotropical species. FMNH specimens also use M. splendens, det by Kawasaki 2005. But we have M. splendens separate (formerly myrc3), including many individuals of M. gatunensis and M. splendens together in plot 6. Kawasaki (pers. comm.) acknowledges that M. splendens is variable and needs revision. For now, we maintain M. gatunensis.
Myrcia splendens tip. gatunensis;Accepted;Myrcia splendens tip. gatunensis;myrcga;Myrtaceae;(Sw.) DC.;See sp.3, the morphospecies eventually identified as this. See also M. gatunensis, whose BCI specimens are now identified as M. splendens. However, plot 6 has many individuals of both this species and M. gatunensis growing side by side.
Myrospermum frutescens;Accepted;Myrospermum frutescens;myrofr;Fabaceae-papilionoideae;Jacq.;Not in Croat but we identified in 1982 census.
Nectandra cissiflora;Accepted;Nectandra cissiflora;nectci;Lauraceae;Nees;
Nectandra fuzzy;Accepted;Nectandra fuzzy;nects1;Lauraceae;;An unidentified Lauraceae, tentatively placed in genus Nectandra. We have most consistently called it Nectandra fuzzy, but it was listed as Nectandra sp. nov. 1 in the 1996 paper, though we are not certain it's a novel species. The 50-ha plot has 11 individuals assigned the name. 
Nectandra globosa;Obsolete;Nectandra lineata;nectgl;Lauraceae;;This is Croat's name, and we originally used it. But Croat's BCI specimens are now identified as N. lineata (Rohwer 1993). N. globosa is valid but only occurs in Guyana. We used N. globosa in the 1996 paper, but the corrected N. lineata in the 2004 paper. 
Nectandra lineata;Accepted;Nectandra lineata;nectgl;Lauraceae;(Kunth) Rohwer;Our current identification for this Nectandra, following Rohwer (1993) who explains the source of Croat's mistaken identifcation as N. globosa.
Nectandra purpurascens;Obsolete;Damburneya umbrosa;nectpu;Lauraceae;(Ruiz & Pav.) Mez;Croat used this name, but it is an error. Authority given by Croat matches that of N. purpurea, so Rowher assumed that's what Croat meant.
Nectandra purpurea;Obsolete;Damburneya umbrosa;nectpu;Lauraceae;(Ruiz & Pav.) Mez;We used this in 1996 and 2004 papers, following but correcting Croat's name (he mispelled it as N. purpurascens). But Rohwer (1993) identified BCI specimens as N. umbrosa (N. purpurea is valid, and similar, but not on BCI).  As of 2016, though, this section of Nectandra was moved into genus Damburneya, so now we call it D. umbrosa. Note, however, that van der Werff in 2016 IDed Croat 5053 from BCI as D. purpurea at same time as he named all other BCI specimens as D. umbrosa. 
Nectandra savannarum;Obsolete;Damburneya umbrosa;nectpu;Lauraceae;(Standl. & Steyerm.) C.K. Allen;We never used this in 50-ha plot data. Croat used it for a single specimen from BCI (Foster 960 at Tropicos), matching it to a species described in Guatemalan savanna (Allen 1945). That one specimen was later determined (on Tropicos specimen) to be the same as the other common Nectandra (now Damburneya umbrosa, what Croat called N. purpurascens). 
Nectandra sp._4;Obsolete;Nectandra sp.4_(tiny_leaf);nects3;Lauraceae;;
Nectandra sp.4_(tiny_leaf);Accepted;Nectandra sp.4_(tiny_leaf);nects3;Lauraceae;;This extremely rare Lauraceae, with just one individual in the 1982 census of the 50-ha plot, was never identified, and we are not certain it is a Nectandra. The single individual died after 1985 and we have never seen it elsewhere, so it will probably never be identified. It had very small leaves, hence the morphospecies name, but it was listed as Nectandra sp. nov. 3 in the 1996 paper.  The combination of sp. 4 and sp. 3  as parts of the name for the same morphospecies resulted from confusion caused by several other unidentified Nectandra in our Panama database.  
Nectandra sp.nov.1;Obsolete;Nectandra fuzzy;nects1;Lauraceae;;This is an alternative name for the unidentified morphospecies we call Nectandra  fuzzy. It was coined for the 1996 paper to sound more professional than N. fuzzy.
Nectandra sp.nov.3;Obsolete;Nectandra sp.4_(tiny_leaf);nects3;Lauraceae;;This is an alternative name for the unidentified morphospecies we refer to as Nectandra  sp.4_(tiny_leaf) in all databases. It was coined for the 1996 paper. The combination of sp. 4 and sp. 3  as parts of the name for the same morphospecies resulted from confusion caused by several other unidentified Nectandra in our Panama database.  
Nectandra umbrosa;Obsolete;Damburneya umbrosa;nectum;Lauraceae;(Kunth) Mez;Rolando used this name in Santa Rita transect, but he says it is same as BCI specimens with code NECTPU. So all taxa we once called N. purpurea are now Damburneya umbrosa, maintaining code NECTPU. At BCI we never used N. umbrosa, because by the time we discovered Rowher's reidentification of N. purpurea, it had been transferred to the genus Damburneya. 
Neea amplifolia;Accepted;Neea amplifolia;neeaam;Nyctaginaceae;Donn.Sm.;
Ochroma pyramidale;Accepted;Ochroma pyramidale;ochrpy;Malvaceae;(Cav. ex Lam.) Urb.;
Ocotea cernua;Accepted;Ocotea cernua;ocotce;Lauraceae;(Nees) Mez;
Ocotea oblonga;Accepted;Ocotea oblonga;ocotob;Lauraceae;(Meisn.) Mez;
Ocotea puberula;Accepted;Ocotea puberula;ocotpu;Lauraceae;(Rich.) Nees;Croat called this O. pyramidata, but we changed to O. puberula by the late 1980s. Van der Weff had already named BCI specimens O. puberula in 1983. See Van der Werff (2002).
Ocotea pyrimidata;Obsolete;Ocotea puberula;ocotpu;Lauraceae;;Croat's named, and we used at the start of the 50-ha plot. We had switched to O. puberula before 1990, and both 1996 and 2004 papers list it as O. puberula. See notes with O. puberula.
Ocotea skutchii;Obsolete;Ocotea whitei;ocotwh;Lauraceae;;Croat used this name, and we followed Croat at the very beginning. By the late 1980s, we switched to O. whitei, and both 1996 and 2004 paper used O. whitei. Van der Werff (2002) published the synonomy.
Ocotea whitei;Accepted;Ocotea whitei;ocotwh;Lauraceae;Woodson;Croat used O. skutchii, but that name was synonomized soon after his book. See van der Werff (2002), who acknowledged variability of O. whitei.
Oenocarpus mapora;Accepted;Oenocarpus mapora;oenoma;Arecaceae;H.Karst.;Formerly O. panamanus, in Croat and in the first census. 
Oenocarpus mapoura;Obsolete;Oenocarpus mapora;oenoma;Arecaceae;;This is a misspelling of O. mapora that appeared in our 1996 paper. We spelled it correctly in 2004 paper.
Oenocarpus panamanus;Obsolete;Oenocarpus mapora;oenoma;Arecaceae;;Croat's name, a name used only in Costa Rica and Panama. We used it at the start of the 50-ha plot but had switched to O. mapora by the late 1980s. Henderson1997 officially lumped this with the widespread O. mapora, along with several other local names in the genus.
Olmedia aspera;Obsolete;Trophis caucana;olmeas;Moraceae;;Our early name, from Croat, now Trophis caucana. Berg (1972) in early Moraceae monograph separated this as a monotypic genus from its earlier inclusion in Trophis. In Berg (1988, 2001), he reversed, saying that Trophis morphology had expanded with T. involucrata, and the wider variation accommodates Olmedia. 
Oreopanax capitatus;Accepted;Oreopanax capitatus;oreoca;Araliaceae;(Jacq.) Decne. & Planch.;Croat includes this, but it did not appear in the 50-ha plot until 2010. The sole individual then died by 2015.
Ormosia amazonica;Accepted;Ormosia amazonica;ormoam;Fabaceae-papilionoideae;Ducke;Not in Croat but identified in 1982 census.
Ormosia coccinea;Accepted;Ormosia coccinea;ormocr;Fabaceae-papilionoideae;(Aubl.) Jacks.;Current identification for a moderately common tree in the plot. Croat listed this form as O. croatii, an unofficial name, but it has been identified at Tropicos in 1978 (MO Dillon). N. Zamora confirmed in 2007 (pers. Comm. To N. Hensold).
Ormosia croatii;Obsolete;Ormosia coccinea;ormocr;Fabaceae-papilionoideae;;Croat used this name, but it is not a published name. Later, MO Dillon and N. Zamora identified this as O. coccinea.
Ormosia macrocalyx;Accepted;Ormosia macrocalyx;ormoma;Fabaceae-papilionoideae;Ducke;
Ouratea lucens;Accepted;Ouratea lucens;ouralu;Ochnaceae;(Kunth) Engl.;
Pachira quinata;Obsolete;Pochota quinata;pochqu;Malvaceae;(Jacq.) W.S.Alverson;"Croat used Bombacopsis quinata, but by 1996 paper we had updated to Pochota quinata, then we changed to Pachira quinata by 2004 paper. But now we have to go back to Pochota quinata, following a recent DNA phylogeny. This makes the nomenclatural history of this taxon the most confusing of all in our database. The genera Bombacopsis, Pochota, and Pachira have been variously used due to taxonomic disagreement. They were coined in 1916, 1909, and 1775 respectively, and there has been a decades long argument about whether Bombacopsis and Pochota refer to the same plants and which takes precedence. At BCI, we originally followed Croat and used Bombacopsis, but Stevens (1987) argued in favor of Pochota as the earlier name. Subsequently, Alverson (1994) argued that they should all fall within Pachira, because none of the characters used to separate Pochota from Pachira were consistent; he acknowledged they may be separate but more evidence was needed. Sure enough, a DNA phylogeny from 2011 does not support Pachira, unless Eriotheca and Bombax are subsumed, and the genus Pochota was again resurrected for P. quinata (but not P. sessilis, which belongs in Pachira)."
Pachira sessilis;Accepted;Pachira sessilis;pochse;Malvaceae;Benth.;Bombacopsis sessilis according to Croat. In 1996 paper, it appeared as Pochota sessilis, but we updated to Pachira sessilis for 2004 paper. See genus discussion under P. quinata
Palicourea acuminata;Accepted;Palicourea acuminata;psycac;Rubiaceae;(Benth.) Borhidi;Formerly Psychotria acumintata. Several psychotria moved to Palicourea due to improved character understanding (see Psych. acuminata).
Palicourea brachiata;Accepted;Palicourea brachiata;psycb1;Rubiaceae;(Sw.) Borhidi;Formerly Psychotria brachiata, and appearing under that old name in 1996 paper.
Palicourea cuspidata;Obsolete;Palicourea acuminata;psycac;Rubiaceae;(Benth.) Borhidi;This was an error and is now corrected to P. acuminata. The mistake traces to misidentification of Psychotria acuminata as P. cuspidata in Panama (Taylor pers. comm.). When moving the name under Palicourea, we carried the incorrect new combination for a short time. Croat has the correct Psychotria acuminata and mentions the confusion with Psychotria cuspidata.
Palicourea cyanococca;Accepted;Palicourea cyanococca;psycpi;Rubiaceae;(Seem. ex Dombrain) Borhidi;
Palicourea deflexa;Accepted;Palicourea deflexa;psycde;Rubiaceae;(DC.) Borhidi;Formerly Psychotria deflexa, and appearing under that old name in 1996 and 2004 papers.
Palicourea guianensis;Accepted;Palicourea guianensis;paligu;Rubiaceae;Aubl.;
Palicourea hoffmannseggiana;Accepted;Palicourea hoffmannseggiana;psycfu;Rubiaceae;(Willd. ex Roem. & Schult.) Borhidi;Psychotria furcata in Croat and the 1996 paper. Later Psychotria hoffmannseggiana before it was moved under Palicourea with many other Psychotria. 
Palicourea racemosa;Accepted;Palicourea racemosa;psycra;Rubiaceae;(Aubl.) Borhidi;Formerly Psychotria racemosa, and appearing under that old name in 1996 and 2004 papers.
Pavonia dasypetala;Accepted;Pavonia dasypetala;lopida;Malvaceae;Turcz.;Formerly Lopimia dasypetala, following Croat, but this is the widely accepted classification, placing Lopimia within Pavonia (Fryxell). Hammel et al VI (2007) uses P. dasypetala without even mentioning Lopimia as synonym. This appears under the old L. dasypetala in 1996 and 2004 papers.
Pentagonia macrophylla;Accepted;Pentagonia macrophylla;pentma;Rubiaceae;Benth.;
Perebea xanthochyma;Accepted;Perebea xanthochyma;perexa;Moraceae;H.Karst.;
